사업자등록번호,기업명,대표자명
1019137036,천지간,고영창
1019852943,도서출판도솔,최정환
1020104560,비전정보기술,마재영
1020113899,대한컨설팅,채석원
1020381616,봄날ICT,김종수
1020691153,신영미디어,김동호
1021061660,스튜디오이십일,윤미영
1021452024,대한리서치,김장수
1021464189,이십일세기군사연구소,김진욱
1021862781,교수신문사,이영수
1021992114,제이에이치일,박창우
1022555371,플랩스,김황호
1023493514,동화사,최의숙
1028101338,(주)을유문화사,정무영
1028103525,(주)동아일보사,김재호
1028120198,쎄티스펙션코리아시스템(주),송정순
1028123273,(주)연합뉴스,성기홍
1028131851,(주)모터매거진,이승용
1028132883,(주)와이티엔,정찬형
1028133903,웨더뉴스(주),이와사히데노리
1028136588,(주)뉴시스,김형기
1028139950,(주)도서출판미래사,고영래
1028140272,(주)큰사람커넥트,김병노
1028142611,동국시스템즈(주),김광선
1028142945,(주)케이티,구현모
1028205888,황엽,한기호
1028210054,한국문화정보원,김소연
1028600260,(주)블루솔루션즈,이채현
1028601575,(주)로이솔루션,김경로
1029869831,제일번역,양명숙
1034400109,이음,주일우
1038700917,(주)더씨엔티글로벌,유성봉
1040170839,인포머셜마케팅연구소,심범섭
1040213835,디웍스,최진수
1040305860,가가즈인터넷,김영건
1040343452,한빛상사,임성용
1040550035,이프애드,장용희
1040599912,디자인봄,이춘우
1040686281,레인스톤,이우석
1040721117,블루피시시스템,성경환
1041705120,나우랩,조인성
1043280476,제이비컴퍼니,전원호
1048118820,메타넷디지털(주),김기호
1048122547,아시아나아이디티(주),서근식
1048124680,(주)서울신문사,곽태헌
1048137225,에스케이텔레콤(주),유영상
1048137808,(주)디지틀조선일보,김영수
1048139387,(주)혜만테크,임광빈
1048141995,오씨아이정보통신(주),박태하
1048143256,(주)아이티피,구지용
1048143391,에스케이텔링크(주),최영석
1048144236,(주)웰컴시스템아이엔씨,김정태
1048148455,(주)한국글로발로지스틱스시스템,박태훈
1048150951,(주)이비뉴스,김영락
1048154506,리얼네트웍스아시아퍼시픽(주),강제승
1048156085,중앙프라퍼티(주),인채권
1048158875,인베스트웨어,김동명
1048159006,(주)조선뉴스프레스,이동한
1048161031,에이치솔루션(주),정인섭
1048163626,(주)도서출판아테나,김대현
1048167980,한영푸드(주),조은란
1048170092,(주)인포매니아정보기술,진용기
1048172936,(주)예스콜닷컴,유덕화
1048178809,유넷시스템(주),심종헌
1048181003,(주)뉴스핌,민병복
1048183559,(주)티머니,김태극
1048186008,(주)에스엔테크놀로지,정병철
1048186162,(주)스카이라이프티브이,윤용필
1048189612,(주)알토시스템,이상종
1048190287,투케이엠시스템즈(주),이동근
1048193417,(주)미래아이콘,유덕화
1048195491,에디터(유),김태진
1048198009,대신네트웍스(주),김태응
1048198896,(주)태원아이티에스,소순원
1048208260,(사)한국수필가협회,최원현
1048405156,시타인포메이션네트워킹컴퓨팅비브이,편선장
1048406970,페어아이작아시아태평양피티이엘,부쯔위엔
1048408610,유니온페이인터내셔날(주),박미령
1048600723,(주)키스엔텍,신기준
1048601853,(주)도프젠,전은찬
1048607819,(주)넷트루컨설팅그룹,임창욱
1048610221,(주)아주뉴스코퍼레이션,곽영길
1048610672,(주)티모넷,박진우
1048613378,(주)엘토에스씨,최창식
1048616545,(주)르몽드코리아,성일권
1048624652,시스코서비스코리아(유),로페이팅
1048626136,(주)이롭게,김은주
1048626816,(주)비앤오커뮤니케이션,손용훈
1048627061,(주)브러스,김선희
1048629093,(주)포스젠,이재홍
1048630076,플레이더상상(주),임병우
1048633258,(주)조선방송,김민배
1048633995,(주)제이티비씨,이규연
1048636236,(주)밤하늘미디어,박철희
1048636463,(주)뷰티베이커리,김학식
1048636968,에스케이플래닛(주),이한상
1048637778,(주)노크,김정호
1048638331,(주)케이제이액셀,경수봉
1048639801,차이나텔레콤코리아(주),루얀동
1048640161,(주)와이비홀딩스,양동운
1048640424,(주)투데이뉴스,정대웅
1048648498,(주)공간인소프트,김원균
1048649987,(주)브리즈피엔엠,김상혁
1048651881,(주)두얼,최수아
1048652196,(주)파인파이어,최수아
1048652347,(주)어센트코리아,박세용
1048653235,노이지콘텐츠(주),김시연
1048653555,(주)씨엘오,김인석
1048653666,(주)오웬스그룹,백광진
1048653837,(주)대한공론,문병호
1048656800,(주)이오이스,김제형
1048657134,밑줄미디어(주),최병현
1048657148,(주)시큐리티허브,이경빈
1048657416,(주)어크로스커뮤니티,기재우
1048657677,(주)카드인텍,김상철
1048658680,(주)라온파트너스,이재진
1048659942,(주)아파트너,유광연
