index,사업자등록번호,기업명,대표자명,c_index,c_name
30103,4018139110,(유)한성텔레콤,유재윤,58,정보통신업
4887,1058650828,써패스,김승현,58,정보통신업
4890,1058651322,한남아이티컨설팅(주),소홍선,58,정보통신업
2564,1051552578,앤플로우,정희태,58,정보통신업
4891,1058652281,(주)한국산업경제신문사,박인복,58,정보통신업
4892,1058653067,영화사키노(주),김종원,58,정보통신업
4893,1058653145,(주)아이티오,박종식,58,정보통신업
31697,4108637498,아카이브웍스(주),정헌배,58,정보통신업
33997,6108631736,아이소닉(주),최혁재,58,정보통신업
4896,1058653688,(주)아이유아이,박상균,58,정보통신업
33998,6108800203,인터테크(주),황실근,58,정보통신업
33993,6108607347,(주)아이티수성,전정열,58,정보통신업
2623,1051636139,글로소프트,정윤준,58,정보통신업
33941,6098610726,(주)휴맥,최우영,58,정보통신업
33939,6098606687,(주)바램인터렉티브,박진한,58,정보통신업
794,1048183559,(주)티머니,김태극,58,정보통신업
4701,1058536682,(주)에스엠컬처앤콘텐츠,한세민,58,정보통신업
33874,6090715084,컴구조일일구,정해철,58,정보통신업
30240,4022236706,마루소프트,김마루,58,정보통신업
33875,6090730969,아존네트,정봉철,58,정보통신업
33876,6091078401,프리조이,조상철,58,정보통신업
33877,6091242057,자이언츠월드,이상행,58,정보통신업
33878,6091424844,에이젠,장준혁,58,정보통신업
33879,6091436170,하나이비즈,최현하,58,정보통신업
33880,6091525234,블루컴,권혁균,58,정보통신업
792,1048181003,(주)뉴스핌,민병복,58,정보통신업
33882,6091564635,홈페이지만드는사람들,김환성,58,정보통신업
30231,4022146473,엠디자인,장민주,58,정보통신업
791,1048178809,유넷시스템(주),심종헌,58,정보통신업
33884,6091881412,케이티엔씨,권윤정,58,정보통신업
33885,6092231355,에스티,김란옥,58,정보통신업
33886,6092296493,데이터닥터창원지사,염경열,58,정보통신업
4720,1058600920,(주)엠이코리아,이재명,58,정보통신업
30224,4022089683,근화비투비,이수열,58,정보통신업
30223,4022073385,엠에이치소프트,김민호,58,정보통신업
4721,1058601026,(주)나우티앤에스,김영규,58,정보통신업
33887,6092409046,에스엔제이디자인그룹,조중호,58,정보통신업
33888,6092457359,올비노,오상욱,58,정보통신업
4727,1058602802,(주)윕스,이형칠,58,정보통신업
4728,1058602821,(주)지오피아,최경재,58,정보통신업
33889,6094864934,대일정공,강석인,58,정보통신업
33890,6095573090,이노시스템,정봉주,58,정보통신업
33893,6098123911,(주)포스텍,김상용,58,정보통신업
33894,6098130673,우리정보기술(주),이병규,58,정보통신업
795,1048186008,(주)에스엔테크놀로지,정병철,58,정보통신업
4695,1058535043,(주)다산북스,김선식,58,정보통신업
796,1048186162,(주)스카이라이프티브이,윤용필,58,정보통신업
33867,6088191153,아엠씨소프트(주),배성안,58,정보통신업
33835,6078617683,(주)나눔기술부산,서흥대,58,정보통신업
831,1048406970,페어아이작아시아태평양피티이엘,부쯔위엔,58,정보통신업
33837,6078620247,(주)인텔리비전,정현담,58,정보통신업
30268,4022474548,레드아이스튜디오,홍현찬,58,정보통신업
4559,1058271034,교육공동체벗,김기언,58,정보통신업
33838,6078701441,(주)에스앤에스솔루션,송갑수,58,정보통신업
33839,6078800056,(주)오비츠코리아,김종윤,58,정보통신업
33841,6079168736,아동청소년상담센터크는마음,박형곤,58,정보통신업
830,1048405156,시타인포메이션네트워킹컴퓨팅비브이,편선장,58,정보통신업
33843,6080694323,동우윈텍,김동철,58,정보통신업
30263,4022451695,아톰자동제어시스템,김종구,58,정보통신업
33845,6081072345,신원정밀,이수호,58,정보통신업
4598,1058300201,서울마포우체국,임인택,58,정보통신업
33846,6081088361,컴웹,안상석,58,정보통신업
4731,1058603456,(주)아이엘에스커뮤니케이션,이승호,58,정보통신업
33847,6081545940,바우자인,배혜진,58,정보통신업
33849,6083690402,매직시스템,임기선,58,정보통신업
818,1048208260,(사)한국수필가협회,최원현,58,정보통신업
810,1048198896,(주)태원아이티에스,소순원,58,정보통신업
809,1048198009,대신네트웍스(주),김태응,58,정보통신업
33854,6088157043,준테크(주),강준길,58,정보통신업
33855,6088159513,(주)한국티이에스,김대웅,58,정보통신업
805,1048195491,에디터(유),김태진,58,정보통신업
4657,1058406177,드림메이커엔터테인먼트리미티드,김성학,58,정보통신업
33857,6088162944,(주)진산케이블넷,김한청,58,정보통신업
33859,6088165752,(주)유비엔터,한은숙,58,정보통신업
33860,6088167406,유비트정보통신(주),조경래,58,정보통신업
804,1048193417,(주)미래아이콘,유덕화,58,정보통신업
802,1048190287,투케이엠시스템즈(주),이동근,58,정보통신업
