Date,Title,Content,URL
2018.03.05. 오전 12:33,[새얼굴]이재식 정보통신공제조합 감사,"이재식 정보통신공제조합 감사는 “임기동안 조합 운영을 잘 살피고 조합원 권익 보호와 사업 활성화를 위해 역할을 성실히 수행하겠다”고 다짐. 정선 출신. 강원관광대, 대원대를 졸업. 정선JC회장, 정선군체육회 이사, 한국정보통신공사협회 강원도회장, 한국정보통신공사협회 제21기 중앙회 이사 등을 역임. 춘천지법 영월지원 정선군 민사조정위원, 정선군 선거방송토론위원회 위원, 정선군선거관리위원으로 활동. (주)한길통신 대표. 가족은 부인 김명자씨와 1남2녀. 취미는 골프.
Copyright ⓒ 강원일보. All rights reserved. 무단 전재 및 재배포 금지.
이 기사는 언론사에서 사회 섹션으로 분류했습니다.
구독
메인에서 바로 보는 언론사 편집 뉴스 지금 바로 구독해보세요!
좋아요
0
훈훈해요
0
슬퍼요
0
화나요
0
후속기사원해요
0
이 기사를 추천합니다
안내

강원일보 언론사홈 바로가기",https://n.news.naver.com/mnews/article/087/0000700843?sid=102
2019.09.23. 오전 12:31,[결혼]2019년 9월 23일,"◇김남혁(김만기 춘천부시장·전영숙씨 장남)군 한지은(한성록·전옥란씨 차녀)양=28일 낮 12시30분 춘천스카이컨벤션웨딩 4층 리버홀.

◇김성규(이희자 춘천시의원 차남)군 김은성(김주일·이기분씨 장녀)양=10월13일 일요일 낮 12시30분 춘천미래컨벤션웨딩홀 4층 포레스트홀.

◇김지완(김문철 전 원주시 상하수도사업소장·장은미씨 장남)군 심미성(심재경·김봉자씨 외동딸)양=28일 오후 2시30분 호텔인터불고 원주 백합홀.

◇최정회(최면철·김인옥씨 장남)군 이유진(이재식 ((주)한길통신 대표) 정보통신공제조합 감사·김영자씨 차녀)양=28일 낮 12시 원주시 아모르컨벤션웨딩홀 4층 아모르홀.
Copyright ⓒ 강원일보. All rights reserved. 무단 전재 및 재배포 금지.
이 기사는 언론사에서 섹션분류를 하지 않았습니다.
구독
메인에서 바로 보는 언론사 편집 뉴스 지금 바로 구독해보세요!
좋아요
0
훈훈해요
0
슬퍼요
0
화나요
0
후속기사원해요
0
이 기사를 추천합니다
안내

강원일보 언론사홈 바로가기",https://n.news.naver.com/mnews/article/087/0000770752?sid=004
2019.09.11. 오전 12:31,[결혼]2019년 9월 11일,"◇최태헌(최승국 전 삼척시의원·김인자 삼척초교 교사 아들)군 함지영(함영구·오미희씨 딸)양=21일 낮 12시30분 대명쏠비치호텔&리조트 삼척.

◇최정회(최면철·김인옥씨 장남)군 이유진(이재식((주)한길통신 대표)정보통신공제조합 감사·김영자씨 둘째 딸)양=28일 낮 12시 원주 아모르컨벤션웨딩홀 4층 아모르홀.
Copyright ⓒ 강원일보. All rights reserved. 무단 전재 및 재배포 금지.
이 기사는 언론사에서 섹션분류를 하지 않았습니다.
구독
메인에서 바로 보는 언론사 편집 뉴스 지금 바로 구독해보세요!
좋아요
0
훈훈해요
0
슬퍼요
0
화나요
0
후속기사원해요
0
이 기사를 추천합니다
안내

강원일보 언론사홈 바로가기",https://n.news.naver.com/mnews/article/087/0000769639?sid=004
2019.09.20. 오전 12:33,[결혼]2019년 9월 20일,"◇임재성(대한항공 연구원, 임종섭·이현숙씨 아들)군 박미연(고용노동부 사무관, 박미남 화천군 축산과장·함태선 시인 장녀)양=21일 오후 2시 춘천 수아비스 웨딩컨벤션 10층 루이비스홀.

◇최태헌(최승국 전 삼척시의원·김인자 삼척초교 교사 아들)군 함지영(함영구·오미희씨 딸)양=21일 낮 12시30분 대명쏠비치호텔&리조트 삼척.

◇최정회(최면철·김인옥씨 장남)군 이유진(이재식(정보통신공제조합 감사) (주)한길통신 대표·김영자씨 둘째 딸)양=28일 낮 12시 원주 아모르컨벤션웨딩홀 4층 아모르홀.

◇김지완(김문철 전 원주시 상하수도사업소장·장은미씨 장남)군 심미성(심재경·김봉자씨 외동딸)양=28일 오후 2시30분 호텔인터불고 원주 1층 백합홀.
Copyright ⓒ 강원일보. All rights reserved. 무단 전재 및 재배포 금지.
이 기사는 언론사에서 섹션분류를 하지 않았습니다.
구독
메인에서 바로 보는 언론사 편집 뉴스 지금 바로 구독해보세요!
좋아요
0
훈훈해요
0
슬퍼요
0
화나요
0
후속기사원해요
0
이 기사를 추천합니다
안내

강원일보 언론사홈 바로가기",https://n.news.naver.com/mnews/article/087/0000770534?sid=004
2019.09.17. 오전 12:32,[결혼]2019년 9월 17일,"◇최태헌(최승국 전 삼척시의원·김인자 삼척초교 교사 아들)군 함지영(함영구·오미희씨 딸)양=21일 낮 12시30분 대명쏠비치호텔&리조트 삼척.

◇최정회(최면철·김인옥씨 장남)군 이유진(이재식(정보통신공제조합 감사) (주)한길통신 대표·김영자씨 둘째 딸)양=28일 낮 12시 원주 아모르컨벤션웨딩홀 4층 아모르홀.

◇김지완(김문철 전 원주시 상하수도사업소장·장은미씨 장남)군 심미성(심재경·김봉자씨 외동딸)양=28일 오후 2시30분 호텔인터불고 원주 백합홀.
Copyright ⓒ 강원일보. All rights reserved. 무단 전재 및 재배포 금지.
이 기사는 언론사에서 섹션분류를 하지 않았습니다.
구독
메인에서 바로 보는 언론사 편집 뉴스 지금 바로 구독해보세요!
좋아요
0
훈훈해요
0
슬퍼요
0
화나요
0
후속기사원해요
0
이 기사를 추천합니다
안내

강원일보 언론사홈 바로가기",https://n.news.naver.com/mnews/article/087/0000770153?sid=004
2019.09.26. 오전 12:32,[결혼]2019년 9월 26일,"◇최정회(최면철·김인옥씨 아들)군 이유진(이재식 (주)한길통신 대표·김영자씨 차녀)양=28일 낮 12시 아모르컨벤션웨딩홀 4층 아모르홀.

◇유한상(홍천군 체육담당, 유대성·강경심씨 차남)군 이유미(홍천농협 근무, 이기억·황병예 대덕원한정식 대표 장녀)양=10월5일 오후 1시 홍천크리스탈웨딩홀 1층 컨벤션홀.

◇허준형(서울지방경찰청 경위, 허만응 전 홍천군번영회장·정영심 전 홍천군여성단체협의회장 차남)군 조미정(서울지방경찰청 경사, 조영록·백승이씨 장녀)양=10월5일 오후 3시20분 서울 마포구 웨딩시그니처 2층 트리니티홀.
Copyright ⓒ 강원일보. All rights reserved. 무단 전재 및 재배포 금지.
이 기사는 언론사에서 섹션분류를 하지 않았습니다.
구독
메인에서 바로 보는 언론사 편집 뉴스 지금 바로 구독해보세요!
좋아요
0
훈훈해요
0
슬퍼요
0
화나요
0
후속기사원해요
0
이 기사를 추천합니다
안내

강원일보 언론사홈 바로가기",https://n.news.naver.com/mnews/article/087/0000771170?sid=004
2009.02.12. 오전 12:00,한국정보통신공사協 도회 부회장에 이재식 대표 선출,"한국정보통신공사협회 도회(회장:강신기)는 11일 원주시의회 회의실에서 제9대 1차 운영위원 및 대의원 연석회의를 열고 도회 부회장 선출 및 대의원 보선에 대해 논의했다.

이에 따라 이재식(정선)(주)한길통신 대표가 부회장에, 우동명(강릉)정화통신(주) 대표가 대의원에 각각 선출됐다.

도회는 올해 각급 공공기관의 분리발주 확대와 회원사 권익을 강화하기 위한 사업 확대 등 올해 추진될 중점 사업을 확정했다.

이날 회의에 참석한 운영위원과 대의원들은 극심한 가뭄에 시달리고 있는 도 남부지역 주민들의 식수지원을 돕기 위해 즉석에서 200여만원을 모금했다.

허남윤기자

Copyright ⓒ 강원일보. All rights reserved. 무단 전재 및 재배포 금지.
이 기사는 언론사에서 사회 섹션으로 분류했습니다.
구독
메인에서 바로 보는 언론사 편집 뉴스 지금 바로 구독해보세요!
좋아요
0
훈훈해요
0
슬퍼요
0
화나요
0
후속기사원해요
0
이 기사를 추천합니다
안내

강원일보 언론사홈 바로가기",https://n.news.naver.com/mnews/article/087/0000193579?sid=102
